comment,label
rt mayasolov as a woman you shouldnt complain about clean up your hous amp as a man you should alway take the trash out,0
rt mleew17 boy dat coldtyga dwn bad for cuffin dat hoe in the 1st place,0
rt urkindofbrand dawg rt 80sbaby4lif you ever fuck a bitch and she start to cri you be confus as shit,0
rt cganderson vivabas she look like a tranni,0
rt shenikarobert the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361,0
tmadisonx the shit just blow meclaim you so faith and down for somebodi but still fuck with hoe 128514128514128514,1
brighterday i can not just sit up and hate on anoth bitch i got too much shit go on,0
8220selfiequeenbri caus im tire of you big bitch come for us skinni girls8221,0
amp you might not get ya bitch back amp that that,0
rhythmixx hobbi includ fight mariam bitch,1
keek is a bitch she curv everyon lol i walk into a convers like thi smh,0
murda gang bitch it gang land,0
so hoe that smoke are loser yea go on ig,0
bad bitch is the onli thing that i like,0
bitch get up off me,1
bitch nigga miss me with it,0
bitch plz whatev,0
bitch who do you love,1
bitch get cut off everyday b,0
black bottl amp a bad bitch,0
broke bitch cant tell me noth,0
cancel that bitch like nino,0
cant you see these hoe wont chang,0
fuck no that bitch dont even suck dick 128514128514128514 the kermit video bout to fuck ig up,0
got ya bitch tip toe on my hardwood floor 128514 httptcocou2wq5l4q,0
her pussi lip like heaven door 128524,0
hoe what it hit for,0
i met that pussi on ocean dr i gave that pussi a pill 128524,0
i need a trippi bitch who fuck on hennessi,0
i spend my money how i want bitch it my busi,0
i txt my old bitch my new bitch pussi wetter,0
id say im back to the old me but my old bitch would get excit 128524,0
if you aint bout that murder game pussi nigga shut up,0
if your toe aint done you pussi stink,0
im done with bitter bitch it a wrap for that if you a angri bird there a app for that,0
is that ya bitch,0
it aint noth to cut a bitch off,0
ju meet son now he ya mane ass bitch shot,0
lame cri over hoe that tear of a clown,0
like snoop said in 94 we dont love these hoe,0
momma said no pussi cat insid my doghous,0
most hate but the hoe favorit 2mw sevenon httptcobmdsvmc3rc,0
nice girl bad make me get naughti bad yello hoe real nice bodi down south chick like em real thick httptcobzrdl3kf7u,0
pimp up pimp up hoe down futur voic,0
post a pictur of that pussi get 200 like,0
pussi is a power drug 128517 happyhumpday httptcor8jsymib5b,0
quick piec of pussi call it a drive by,0
run round here like some brand new pussi that bout to get fuck,0
these bitch even worst theyll send them guy for you,0
these hoe like nigga that spend money not talk bout it,1
we dont trust these nigga all these bitch,1
yall nigga b cuf hoe caus yall aint never have bitch,0
you dodg a bullet 128517 8220darealkha all da bitch i cut off pregnant or bound to be thank god 1285918221,0
young pill chamberlain these bitch love my music,0
128514128514128514128514128514128514128514128514128514128514128514vandalsavag teanna trump probabl cleaner than most of these twitter hoe but,0
128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay nigga couldnt wait to act like bitch tonight,0
128514128514128514theparadox and ima steal hi cat n replac it with a pitbul 128514128514128514128514 rt 80sbaby4lif theparadox he a bitch you should do it,0
amp he gone alway be a hoe,0
son of a bitch took my tic tac i like thi movi,0
all i wanna do is get money and fuck model bitch russel simmon,0
2015seniorprob i probabl wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teacher retweet,0
a7xdemeri im a fuck fag they said,0
arizzleindacut femal think date a pussi is cute now httptcovxbjg26gsz how doe do thi stuff make him a pussi,0
addicted2guy simplyaddictedtoguy httptco1jl4hi8zmf woof woof hot scalli lad,0
adorebellaaa have ya ever ask your bitch for other bitch kany voic ye,0
adorezoey how u gone bring ur side bitch to a game where you know ya gf friend at 128553128553128553128553 i swear,0
allaboutmanfeet httptco3gzupfumev woof woof and hot sole,0
allyhaaaaa lemmi eat a oreo amp do these dish one oreo lol,0
almightywayn jetsandaswish gook bitch fuck u httptcopxmga68nc1 mayb youll get better just httptcotprevwfq0,0
almightywayn fuck red malon man bitch ass niggah could you pleas use complet sentenc,1
arizonasfinest6 whi the eggplant emoji doey he say she look like scream lmao,0
autoworid hennessey venom gt 128584 httptcoi8egmnkaj9 that one sexi bitch,0
bossbytchh him seh me pussi wetter then a shower curtainahmesehwetnessltlmao,0
brohen314 eaglesn and everi eagl need to see that pic i just post becaus that bitch just said the most racist shit,0
bvsedchink yo fuck skateboard all yall some wood push faggot man ball is life httptcovbczp6hmt7 amjemiebenn,1
babyanimalp babi monkey bathtim httptco7kpwadlf0r awwww thi is soooo ador,0
baylaagottabodi 128514128514128514128514 i aint shit damn skippi lol,0
beeasyjrizzi u ever kill a ant on the sidewalk and think damn what if that nigga wa on hi way to get some pussyno bs must b gt30chanc,1
beenbasedb kudabrazyy httptcoluubgl9y5u 0 ring 0 mvp 0 bitch lol,0
beenflynsolo ppl talk bad about the ghettohood but as a kid grow up a nigga had funnnnnnn,1
bestproadvic the fact on tattoostattoo httptcozwnbhpdz8 he a pussi with not tattoo them nippl,0
bill215 128175128175128175 rt nelayden bitch be want to act like nigga so bad 128553128553128553 that shit aint cuteeee but nigga act like bitch,0
bitchjones92 get worship bitch httptcor37cejcj woof woof,0
blackchiquitita wow rt thatmanpalm im lost are those buttcheek pierc httptcoyn6guyouq6 yeah she a hoe,1
blacknerdjad ok si shed rather be a broke bitch shrug shell have to tell me how it work for her,0
blackman38tid whalelookyher howdydowdy11 queer gaywad,1
brokenpiecesmsc itsnotadam faggot read my tweet after dat k it wasnt even funni lol,0
brosconfess thi bitch wa so ungrat httptco06e77bgwbx fr lulwhor,0
cashandboobi i been kidnap yo bitch,0
cbbaby24 whitethunduh alsarabsss he a beaner smh you can tell he a mexican,1
ccobey aydanmccoy happi birthday nig thank yo,1
chlldhoodruin when ur teacher tell u that u have homework httpstcorkk5vawij1 thi bitch need to go,1
caelang15 22edham caelang15 that nigga wa eat that hoe lol hell yea lol john paul nigga said john paul httptcoosipbkpr9h,1
canifuckornah what would yall lil ugli bald head bitch do if they stop make makeup amp weav,0
carelessone92 leaf better win thi damn game so i can go riot and shit earlychristma you better start loot my nig,1
causewereguy go back to school suck more dick than the hoe who attend it,0
causewereguy on my way to fuck yo bitch httptcoj906t5ze2r me as a 9 year old,0
celeynichol whitethunduh how come you never bring me food i dont have a car retard,0
chadmfverbeck if richnow doesnt show up with hella tinder hoe im not hi friend anymor chill i brought like like 8 propl,0
chandlerparson how bout them cowboy shutup pussi,1
clicquotsuav lmaooooooooooo thi nigga krillznuhcar httptcoaanpsujmyi ltbitch want like for some depress shitfoh,0
coleyce lilaerii girl you know i wa spit that g shit to you amp you wa go lbvsbitch plz,0
coleyce let me make a coupl tweet off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again,0
comedypost harlem shake is just an excus to go full retard for 30 second,0
comedytruth amen miley 128591 httptcop2kb2tfyxrokay but she dont need to act like a hoe just bc she emot damag foh,0
corybandz have one loyal femal is wayyyyy better than have hoe idc 128175,0
crhedri pussi lick pussi meow meow stopwhitepeople2014 128049 httpstcokeegdcjs5k8221 128533,0
dbabholloway check out our 12th man cowboysn even with all those faggot ny fan in the stand,0
dgotbrick what happen to them vixen ent bitch they got ran and threw to the side like a foothil bitch,0
daedavidavi whitethunduh im the bitch okay nude pat 128554128527128056 wow,0
devilgrimz vigxrart your fuck gay blacklist hoe hold out for tehgodclan anyway httptcoxuccwoetmn,1
diamondloudkush the fuck be wrong with these bitch nobodi know,0
dietrich1892 yall shut upp make me bitch,0
dionairish i hate a im pregnant type of bitch,1
doyouq got bitch in the dm but i dont ever readem which is y your top 3,0
domworldpeac basebal season for the win yanke thi is where the love start,0
dommoneek littl stupid as bitch i dont fuck with yoooooouuuu,0
dreadheadari she realli ask me that dead ass seriou tho all i could say wa bitch wheet lol,0
dunderbail im an earli bird and im a night owl so im wise and have worm,0
edgarpixar overdos on heavi drug doesnt sound bad tonight i do that pussi shit everi day,0
elgrillo1 pit bull photograph as love fairi tale creatur httptcoq0sm89oolh8221 they are fairi tale creatur,0
ferociousghost 1stnamebravo aw fag dont tweet aw to me lol,0
flokid88 as long as the laker trash from now on i could careless and that real cc benbal hahaha,0
frosstyy h0rheyd i didnt say anyth tho kiss me then faggot,0
funnypicsdepot thi the i play soccer cheat on girl and wear khaki colour cargo haircut httptcozuai7qwbir 128514 yup,0
g27statu i could go for a fat ass bitch on my lap same,0
gedmel 17 miss call 128544128545da yo po bitch twitter finna be screamn freemoneymel,0
gtmal ya side bitch gotta know it rule to thi shitanybodi ask you my cousin from jersey thinkin bout move lmmfao 128514128514128514128514,0
gagatom1 8220malefoot 3 amo lo pie httptco4qe1hdkk8i8221 fuck yeah,0
girlthatsvont these hoe be think meat wont slap they ass 128564128075 ainna bruh,0
girlthatsvont yall bitch wit no edg be do the most talk 1285531285649995128514128514128514,0
girlthatsvont yall still go trick or treat thi year or nahhel yeah ima be da sweet tooth bandit steal bitch bag n shit,0
girllssu i wanna have sex with my mom fuck her right in that pussi where i came from damn you got hack like fuck,0
gizzyjones94 if she kiss u with her eye open watch that bitchlmfao,0
goofstroop you a woulda coulda shoulda ass hoe 128563128586,0
gottiltf happi bday bitch ass nigga jetsandaswisherpreci that bitch roll up,0
hbmostdop 1jaye pipinho use to send that bitch up,0
hbmostdop ugli bitch be like im my own wcw duh bitch you aint nobodi elses128514128514,0
halotgmg 1stnamebravo nigga you know we hacki sack hoe nah i throw no look pass lmao,1
heartlessfuck glad im get outta atlanta noth but a bunch of nigga in amp outta jail amp dumb bitch with mad kid fuckin em,1
hermosaalma thi isnt ghettoit smart httpstcompazq3jswf im do thi idc,0
hiimjorib i would wife a hoe onli cuz we wouldnt care that we cheat in each other whi forc the relationship in the first place,0
hornyfact be singl isnt an excus to be a hoe theonemissluu,0
hoskinsty96 white boy power bitch black power bitch,1
hudgens11 let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude have no chill,0
iscoutgirl verballyabrupt bitch where u been around the world and back where you been,0
itsyahboiray anelylov if i dont get my dick suck at yo parti by a bad bitch im fr gone set it off 128514128514128514128514 by anelylov,0
itsyesi oomf is soooo cute but he probabl ha hoe on him a lot,0
jayten9 in everi cartoon their alway a nuffsaid15 save these hoe lmao httptco9ukd8wtz6x lmao damn captain saveaho,0
jreebo who want to get there nose in these bad boi then scalli chav sockfetish stink httptcofeqxgn0w6i hot sox and leg,0
jamesynba i wish i wa a bitch like my brother keezi 128530 ooooow i bet you do,0
jasminepor if you dress up as a cat for halloween you are basic or a pussi,0
jewelxo can pornhub just get a game stream featur so these dumb bitch can gtfo pornhub get on it katielt3,0
joebudden stop be scare to choke her dure sex u bitch ass nigga she8217ll like it say the guy who hit women out of bed foh,0
johnny55perez whitethunduh ha well iguess i make them hoe loyal bro theyll never be loyal that y they hoe my nig,0
kazatta 1takehov oh man it 5 am you off a molli ho where the fuck ya seed at fix,0
kelsiebelsi your not a man if you refer to everi girl as a bitch,0
keyshawnswag lmfao thi cat start beat the shit out of me my nigga final got some pussi my nigga,0
keyshawnswag peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,0
kingcuh 16stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,0
kinghendo95 vondreaam naw it my old tape new cover my upcom mixtap is kingofthehil yeah im wait on that hoe mayn,0
kingteej ol dirti foot ass bitch thi wa too funni to me,0
kingshawn6 whitethunduh that where i get my yellow flag for be amaz 128079128524 hell yeah niggi,0
kissmysmile dont got time for bitch to be actin iffi,0
knightfann ucfpinkparti come on stay aliv knight nation thi is still the earli bird special comeatmeut,0
kyranadiya these hoe aint loyal no they aint httptcoh1ubsvbkgl smfh amp wonder whi nobodi decent want them,0
lcistj bruh you stud keep think im soft as hell ask ya girl how mani time she scream she wa my bitch oh okay stfu bye hoe,0
lodycash dri pussi bitch alway blame it on the condom128514128079128514128079128514,0
lunarap shut yo bitch ass up httpstcoiemn1u0gm5 128557128514,0
laflaregodjosh gucci mane in jail and drop mixtap everi month and you hoe cant even text back,0
latrobemark you love these hoe more then money wat wrong these nigga,0
lebronvuitton a loyal bitch from the burb without daddi issu is like find a holograph mewtwo sound like me over there lol,0
lilfridayho easi cum easi hoe that a fact,0
lifeasbro charli sheen is too real httptcogggdk3kov7 major fuck respect for charli sheen,0
lightskingawdd wish i had a bae 128533 you got all the hoe tho,0
lilmike12 fuck twerk bitch can you cook,0
linniekravitz wesgodlaflar bitch wtf httptcodasmycxodb,0
lipethegreat 8220h0rheyd lipethegreat shut up zoe fight me pussy8221 for zoe im good man you are good maam move along now,1
lolaaisdop lmao fuck snake bitch em,0
loveableaizah big booti hoe everywher sheesh 128525 damn 127807128064127807,0
mlbnetwork stay tune to mlbnetwork for an updat on the report that yanke 1b teixeiramark25 will be out 810 week dliming35 bum,0
mrad 8220dezdlt i play soccer cheat on girl and wear khaki colour cargo haircut httptcotycihd6pkw8221 ye lmfaosoccerboy04,0
madflyentist oregon choke everi year get off the field trash ass program rft,0
mannydiesel def not cowboy lol rt artoffloyd terrel owen wa the best eagl amp cowboy ever dude cri like a bitch on tv over romo,0
markroundtreejr lmfaoooo i hate black peopl httpstcornvd2nlcdr thi is whi there black peopl and nigger,1
master11 20tolif gabrielastarr how could u do thi to me bitch potent,0
maxmayo77 httptco3jk4kr44x3 a piss lad past out i would lick hi dirti sole while he slept,0
maxmayo77 httptcoprrskknqrv love frat boy w soft long sole,0
maxmayo77 httptcoxpsc3makgj sexi lad with hot sole and arch,0
megamindnick whitethunduh nah fam i gotta cheat with the hoe depend on the femal i feel,0
meshanoja vontethekidd 128079128079128079128079128588 i got hick lol,0
migsmichelen thi new twitter is confus the shit out of me go back to south america bitch,1
miikitox3 toto mean ass or vaginai think pussi caus toto santi is like nasti pussi,0
mikelahenri but what if he actual doe choos the ugli bitch over you 58381her ass must be fat,0
mileycyru bitch couldnt kill my vibe if ya tri 127752127752127752 di whi i love miley,0
montrel im tire of bitch say i look mean 128530 nigga you big af wear tight shirt and grim everybodi,0
motherjon 10 bird your grandkid may never see thank to climat chang httptcoxqmxhkaswt httptcorbitegrnhm climat,0
mvckfadden stay beauti you bitch,0
nickiminaj wutkinda r purpl ceeeleeeman thi gurl wa ju playin on the stupid hoe track but in still shit on sum gurl,0
nastycopp money get taller and bitch get blurri,0
newsomejad i aint never seen a bitch so obsess with they nigga128514 im obsess with mine 128529,1
nicholasted33 kobe stay talk trash but let not forget httptcovh4tnekvtp jaustin12 i meant to do thi one smh,0
nochillpaz at least im not a nigger httptcorgja7cfoit lmfao,1
nofakingg peopl alway ask me what im mix with she a bad asian bitch lol,0
notoriousbm95 whiteponyjr ariza is a snake and a coward but at least he isnt a crippl like your hero roach lmaoo,1
osayitaintso 8220ignorealllaw foster home for imaginari trash8221 whoa chill that show wa everyth tf,0
officialreplay i am lowkey tire if you tire be quiet and go to sleep hoe,0
prayingforhead 8220macklemro stop bring weird nigger into my mention prayingforhead8221 httptcocussdjesrk,0
prettybossbrat we dont love these hoe 128080128581,0
patrickquelo if yo girl cant have homeboy you a ol weak bitch ass nigga,0
patsfanjoe32 dpalomino52 i think worst advic i gave you wa dont be a pussi and speed up lol,0
poemsporn quot thi tweet with your favorit animalpussi,0
poeticsuccess i hate when stripper tell you theyr dancer hoe ballet dancer dont pop their pussi to beethoven you a stripper,0
poffalici andrewbry poff ha doubl vision after 2 beer poff doubl pussi 128526 smh,0
poobi when bitch twerk on the comput me in ya 128089 in ya damn 128089825265039,0
prodsjewel 8220sreadthepeac 8220yungmindless peacepunkprinc princ thi is art httptcoephrwxmbhr8221 nobodi takin hi bitch,0
quan1t0 61 of welfaregovern aid is claim by white peopl so yall black slander is trash now,0
quan1t0 these bitch dont care they just play that role,0
queenkaaat it took a while for you to find me but i wa hide in the lime tree iemonaid di bitch in da wrong tree bro,0
rtnba drake new shoe that will be releas by nikejordan ye there glitter on the shoe httptcoqctplxhexm dude a fag,1
rachiesoul dizzleoffici inna di ghetto you alon lmaoo,0
ramboutit 8220master11 20tolif ramboutit hoe austin8221 teach us austini teach u how to get curv that all i know,0
reachtheeclimax bitch cant cook but know how to suck dick so to the one that can do both,1
renegademo fat hoe get chose lol,0
riahsm hoesaintloy well theyr hoesno one expect them to be loyal,0
rishaawilliam treshonscroog nevertrustt ol bitch ass httptcoamcoiny0wg,0
rnadjorel bruh im tire of nigga retweetin miley cyru nake that bitch aint no type of bad lmaooo,1
sactownprodigi just becaus toni romo at the mav game dont mean he still not a bitch lmao fuk them cowgirl lol bitch fuck you,0
samjlayman holi shit freddi highmor wa in charli and the chocol factori me roll on the floor laugh,0
samirahus i dont want to have sex with my gf becaus i feel like im use her anonym whata faggot,1
sexualgxf one of your follow with thi 128525128553 httptcof1tjl9xnct somebodi bitch if you dont,0
shaajenkin if ya bitch alway bitch clearli she care or just an annoy bitch,0
shantaughth these catfish hoe thinkin they slick but nigga catch on 128524,0
shewenttojordan cant worri about a bitch that aint worri bout me real,0
showarr side hoe are for insecur nigga that cant handl a real one,0
shunstok 128514128514128514128514rt bluprint4 lmao thi bitch come scoot in the tent like she about to fuck some shit up 128557128557128557,0
shunstok my cousin said he share hoe with hi brother he said share is care and he love hi brother 128514,0
slimgirlprobz im hungri but ionn wanna spend my money on food128530brok hoe problem 128514128514128514128128,0
smeegbabi dese hoe be lyin to all of us nigga,0
snakecharmsdump httptco4b427dqzcv oh yeah fuck that bitch,0
sportscent eli man just threw hi nfllead 27th intercept of the season lmao trash,0
sportscent usc senior rb anthoni brown call head coach steve sarkisian a racist and quit team 187 httptcojoosdsubir he a bitch,0
stellatex guess what i also have zero time for your mansplain adio stfu pussi,0
stephenwildboy chill 1280698482 httptcomik3ipnle6 sexi scalli lad,0
strap i aint share no bitch if you mine you mine 128175,0
sukmysweet money onli impress the simpl broke bitch,0
sylvieamx pisc will never be anybodi bitch they dont let peopl control or chang them rigghhht,0
teejonez 16stanley kingcuh tuku ho idk blah blah blah 128514128514128514,0
teejonez kingcuh 16stanley im not mad cuh hahaha suur tuku ho ita 128514128514,0
tayknosbest these hoe is crazi,0
taylorrbabe you aint ever gonna be a slice bitch kevin hart,0
thatniggatroy oomf so fuckin fine tho 128553 dam her dont be no bitch,0
thegamerkingkev i wonder if the girl that gave head to 24 boy for a drink in magaluf ha twitter she probli send nude for fag,1
thenewsat newsatquest yeah bitch yeah bitch call me a mayb b steveo c later d jess pinkman machinegunkelli,0
thenymphotweet hicki in between her thigh right by her pussi gtgtgt it onli right,0
theonemissluu would you still love me when im no longer young and beauti no ugli monkey ass,0
therealrickyb21 jetsandaswish gook yall come through the frontbitch i aint come,1
therealrickyb21 jetsandaswish faggot bitch httptco2hyyabk4eh,1
therealistsam madrid2 yea im on my ipad i dont work thi friday let ball thi faggot up tropicalblanketi work 25,0
theo17100 httptcobyj1hoyhmg thi scalli lad would get it,0
theomaxximu gerryshalloweenparti httptco3ycrsrnjhc halloween wa yesterday stupid nigger,1
theomaxximu chru still supahot tho walk up to teacher with test drop test in that bitch fohead httptconb5vgdssgi,0
thornton25 8220kantkeepahbytch i love eat pussi lol i never get full lol8221 i can eat that shit forev lol and ever,0
tmaccgfg 8220voiceofdstreetz tmaccgfg 8220tizzimari no slush 1285498221hoe nasti anyway fam1285648221them hoe tast like meds127815127815127868,0
tmaccgfg 8220tizzimari no slush 1285498221hoe nasti anyway fam128564,0
tmaccgfg bobbi bitchbi bobbyshmurdags9 be get me live as fuck hell yea i play that hoe befor my workout,1
