tweet,label
lmao 128681on the play rt funnyjulius getting pussy is so easy when they believe youre omar eppss brother or the steelers head coachs son,0
you know what fuck you too bitch your such a little hoe gtlt,1
hoes thnk they won when the nigga thats ridin the fence start givin them a lil attention what u won hoe a wishywashy ass nigga oh,1
densonkeith most of these people are followers of followers of truth but they themselves are still niggers their outlook mind amp all,1
niggas be bitches hoes be bitches ion see no difference,0
damn hoe you so ugly even hello kitty said goodbye,1
rt xdsmooth the way this niggah just flinched at this movie was priceless 1bookieg,1
impactparasite just fuckin roasted this faggot,1
rt salamancode proof that thots are retarded httptcorhjsll9i9f,1
no you dont have haters people just dont like you get over yourself hoe,0
jakiekoelewijn nigga whos bitch u fucking cracker get your gay ass out my mentions,1
rt kcarmouche how you real dont put no money on you nigga books but chu buy a bitch chanel just to hit the puss,1
heauxmersimpson im jus tryna vaca away from the niggers bro,1
little fucking gook who smells like shit an than thinking theyre the motherfuckin boss the fuck,1
rt wcvbkelleyt just me or are there a lot of tweets from media tonight about election night food for the record cheese amp crackers s8230,0
do you think all the rice fags are at mcdonalds,1
pornandroidiphoneipadsexxxx  korean  korean girlfriend pussy httptcood1mquudnn,0
nadiaxo fags,1
rt holdmyheart i dont understand how bitches find the time to worry about what another bitch is doing,0
lexvan13 go back to nigeria faggot,1
ankles 1281281285148220sainafaal 8220martianmulah hood bitches with long weave is the worst thing ever8221 weave that be touching their ashy ankles 1285678221,1
austinfarrar your a fucking queer faggot bitch,1
fat bitches fat bitches heeeey,1
its a problem bitch ya better follow me i give ya this dick you then won the lottery,0
so to my favorite nigger to work on the plantation prettywarzone just remember next time ask for the watermelon dont steal it,1
rt nickcoyne001 guys who tweet shit to get a bunch of favorites are on the same level as hoes,0
rt alexisdiamond with his bitch ass  buut thaats bae kinda lol ,0
alexissert leave dyke,1
rt tanajiamonay i hate hype ass bitches like  its too early for you to be all loud sit tf down somewhere,0
rt charleslacross gator needs his gat punk ass bitch,0
im okay with rasor talking trash,0
rubs hands like bird man,0
its a bob schieffer holiday now hes proud and smitten that hes the good white guy hicks be damned everything is 1965 everything,0
feliciawolfee thanks hoe128522,0
oskzilla fuck you fag,1
shmalec13 ya fag,1
saucygyro that was back when nigger music was decent,1
will8217s tweets scream 8220look at me i8217m a pansy ass bitch8221 like 5 of the 7 days in a week,0
rt jakewaller97 do you ever just see someones account and think wow what a faggot but at the same time you cant unfollow bc u cant m8230,1
peace fags just remember im best lux support na drop lustboy pick me and kakao up tsm,1
ready to go get my fried oreos,0
infidelalie that should read suck on my bacon encrusted middle finger muslim twats,1
legionary1488 jomavaesjos now we have a ebloa case in texas if we kill all the niggers we might be safe,1
them hoes look so clean on foot,0
mah5h stfu white trash,1
bitches with kids are retarded,0
rt downswinging brendon urie must make other boys feel like trash,0
my main bitch is a ghost,0
oaklog check yer phone nigger,0
it was nice of you to unfollow me fag,1
chriscurtis410 they be tryna b on the low but one day these bitches gonna realize some niggas talk more then them l128514,0
rt fuckinggarza i wanna sleep but im outside with this nigger lol trying to hang him,1
aint even fuckin wit shady bitches,0
kiante im askin you negro lol,0
httptcobpu86qzyft cassie laine 8211 brunette slips off her lingerie and massages her wet pussy with160oil httptcormqklh1aez,0
prayforjack new york niggas quick to take off on a bitch in public boy lol,1
oskzilla fuck you niggah you gay lol,1
rt kevinhart2reai bitches love body party 128571128166128069128068128525128149 but when its time to take da dick the party canceled 128581127814 false advertising ass bitches,0
kensuttling not taking franks advice and he ate the yellow snow,0
niennunb what did you search gay redneck episode 1 play,1
these parents nd giving they kids ghetto ass names ronkieshietta bro are you serious that tipped the scale fa me,0
might have to play the b2k tonight for my black hoes you know i still care about yal,0
shmalec13 ya fag,1
i need one of those research street signs near usaa  hang that bitch above my bed lol,0
they slut for me they kill for me they steal for me and of course itll be yo cash and ill murder that bitch send the body back to yo ass,1
rt xclairemckx drinking veuve cliquot and eating marshmallows basically because im a classy bitch,0
my roommate is eating so obnoxiously i wanna fucking slit his throat,0
bonnoxxx nah she said you a fag,1
rhook220 ohwaititskate ejperuski5634 pussy x3,0
video shy glizzy 8211 8220i can8217t trust160myself8221 httptcohrfudrvzdb,0
misplacedmomma y8217all whitey gots to pay fo da preparations,1
you wanna find hoes on here just follow the chicks who reply with heart eyes under sex gifs,0
rt woodyafc maniac3x whiteponyjr lmaoooo what a bunch of fags,1
rt thriiiuminati im chill as fuck but ill still turn up on ur bitch ass,0
fuk wit a real nicca,1
why does this faggot in front of me have to get two dozen doughnuts right now get the fuck on,1
rt taurusismagic tauruss are the first to congratulate this years hoes for being smarter than last years hoes you know who you are,0
kirogx me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga,1
how bout them redskins,0
mrlewis brookebrooklyn ohh yaa he wants brooke to be his pinkie toe so he can bang it on the coffee table what a twat lol,0
southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working,1
whats wrong with bitches fuck nigga,0
all you bitches can keep getting jealous i loveeee ittttt,0
rt basedomg im fukin yo bitch u mad as shit,0
rt isalopez dlo520 but youre still a faggot,1
rt nroth44 wow the stupid nigger in lebron really came out there,1
smasey youre such a faggot,1
western jihadi fanboys use of language peppering sentences with arabic words to sound knowledgeable  comical httptcog2rca1xgh7,0
seattle mayoral election this year a choice between a bunch of women nonwhites and faggotsfag lovershttptcorwhgmrlazx,1
one day im like harry styles is so hot the next day is who tf is this faggot,1
rt nowomanisright you can be a good girl all you want and those hoes still gonna get us niggas attention from time to time,1
prosperindia ho no without ur vote we lost the election ak49 is taking oath as pm today ,0
rt boburnham in the future gay culture will be considered cool by americas teens and instead of wiggers there will be straggots,1
tylar you ah lien ass hoe,0
shut yo mesquito lookin ass up poped bitch,0
u oversteppin u boundires as a sideline hoe,0
if you kill all cops and cracker babies what next black states white states and latino states isnt that moving backwards,1
noturbro niccol3xo lmao nigga shoulda said i would be balless bc dat cold bitch wont stop blowin meswaagg,1
this nigga over here telling me he dont fuck with this bitch  when he do 128553128514128514 or maybe she lying lol,1
schoolschooschoschscsststastaystay hstay hostay homstay home,0
andreberto cant wait for more peds is that it roid munching faggot,1
rt steviegarcia11 here come wiggas soft tweets 128514,0
kim kardashian look like a tranny with all that surgery,1
8220bixxhmakemerich if u ask me every bitch gay8221or bi,1
diversity chcgo blck pstr flooded w dth threats ovr endorsement of gop candidate 8220u sellout uncle tom ass ngger8221 httptcovcbwzkyedv,1
rt jafricanflow this is so stupid 128514 rt westsideflee how you gone wife a bitch that let niggas lick on her head in public,0
rt marylene58 maggietanquary shes one of the ugliest women ive ever seen cross between a reptile and a crow httptcojsyaogup4s,1
if you like chocolate or sodapop and you tweet bad about happycolumbusdayyou are a fuckin retard hypocritegt,0
rt revenant0202 seriously florida a vote for charlie christ is a vote for taxes and ebola,0
two dyked fightin over a bitch lol gtfoh,0
rt anthonycampos23 lebron your still a bitch you suck nigger hope you die,1
